"","unspi","nums","names","taxa"
"1","A","1","Algae","Algae"
"2","AC","2","Ascidia ceratodes","Solitary Asc."
"3","BG","3","Bowerbankia sp.","Bryozoan"
"4","BN","4","Bugula neritina","Bryozoan"
"5","BS","5","Botrylloides schlosseri","Colonial Asc."
"6","BV","6","Botrylloides violaceus","Colonial Asc."
"7","DL","7","Diplosoma listerianum","Colonial Asc."
"8","DO","8","Distaplia occidentalis","Colonial Asc."
"9","DV","9","Didemnum lahillei","Colonial Asc."
"10","E","10","Eggs","Mollusca"
"11","MS","11","Metridium senile","Anemone"
"12","OS","12","Obelia sp.","Hydrozoan"
"13","SS","13","Schizoporella sp.","Bryozoan"
"14","WS","14","Watersipora subtorquata","Bryozoan"
"15","X","15","No Species","No Species"
